Date,Route,Rating,Commitment,Route Type,Area,Aid Rating,Notes,Pitches,GPS,Style,Lead Style,Length
2025-01-17,K3,5.10d,,Trad,Corcovado,,Proud onsight! Was seriously touch and go through the crux. Absolutely incredible movement! W/ Johannes. ,1,"-22.9549, -43.2144",Lead,Onsight,100
2025-01-17,K2,-5.9,PG13,Trad,Corcovado,,Sick climb! Skipped P2 to do K3 instead ,4,"-22.9549, -43.2144",Lead,Redpoint,500
2025-01-14,Via dos Italianos,5.10a,,Sport,Pao de Acucar,,LRS w/ revo. Did italianos to where it meets CEPI in two pitches and two hours. Took a snack break and it started raining so I took CEPI to the summit :( no french freeing on the follow pitches though! ,4,"-22.949900, -43.159100",Lead,Redpoint,700
2025-01-11,Waldemar Guimaraes (Waldo),5.11d,PG13,"Trad, Sport",Pao de Acucar,,Led pitches 2 & 3 w/ Henrique. Sick climb!! I feel like I got the money pitches. Rapped Segundo to leave. ,4,"-22.949900, -43.159100",Lead,Onsight,1000
2025-01-10,CEPI,5.5,,Sport,Pao de Acucar,,"CEPI via on the Sugarloaf. LRS with revo for most of it, then just daisy soloed the rest. Got a blister on my hand from all the hauling on cable ",9,"-22.949900, -43.159100",Lead,Onsight,
2025-01-07,Costao,5.7,,Sport,Pao de Acucar,,"Soloed everything, clipped one bolt through the technical section with a double length sling",1,"-22.949900, -43.159100",Solo,Clean,1000
2025-01-07,Coringa,5.6,,Sport,Pao de Acucar,,"LRS with revo. Mosquitoes were HORRIBLE for the first pitch, probably because it rained overnight. Otherwise pretty sweet! ",6,"-22.949900, -43.159100",Lead,Onsight,330
2025-01-05,Costao,5.7,,Sport,Pao de Acucar,,"Soloed everything, then TR'd the technical portion bc I arrived right when a guided party was finishing up, so they threw a rope down and I tied it round my waist and ran up the thing. Will have to do it again because I didn't find the pedra filosofia ",1,"-22.949900, -43.159100",TR,Clean,1000
2025-01-03,Preto (with Rubro Negro var),5.7,,Trad,Morro da Urca,,"LRS with revo. 
Got lost after the Rubro Negro crack and did a 55m pitch all the way to the top. Kinda sketch way up there! Had to bushwhack through hella dense bamboo to get out, totally nackered ",4,"-22.9504, -43.1635",Lead,Onsight,400
2024-10-25,Old Man's Route,5.2,,Trad,Seneca Rocks,,"Soloed to the last pitch, then LRS w/ Grigri",4,"38.833800, -79.366300",Lead,Redpoint,
2024-10-25,Agony,5.10b,,Trad,Seneca Rocks,,TR soloed after trundling the death block low on the route,2,"38.833800, -79.366300",TR,Fell/Hung,200
2024-10-24,Bee Sting Corner,5.7,,Trad,Seneca Rocks,,TR solo w/ approach shoes no falls. Nice line!,1,"38.833800, -79.366300",TR,Clean,75
2024-10-24,Dufty's Popoff,5.7,PG13,Trad,Seneca Rocks,,TR solo w/ approach shoes. Still so fun!,1,"38.833800, -79.366300",TR,Clean,130
2024-10-24,Worrell's Thicket,5,,Trad,Seneca Rocks,,Access to lower broadway,2,"38.833800, -79.366300",Solo,Clean,160
2024-10-24,Gert's Grungy Gulley,5.4,,Trad,Seneca Rocks,,Guided my oldest client yet at 81! First time on the upper pitches,4,"38.833800, -79.366300",Lead,Onsight,150
2024-10-22,Gunsight to South Peak Direct,5.4,,Trad,Seneca Rocks,,Guiding to set up silks from a highline across the notch. Two pitches from upper broadway to the highline anchor.,2,"38.833800, -79.366300",Lead,Flash,150
2024-10-21,Stone Gallows,5.10b,,Trad,Nelson Rocks,,"Stone Gallows at NRocks. Led P1 and P2, Chris led a short P3 to get to the top of the headwall. SO SICK. Super sandbagged at 10b though",3,"38.695500, -79.465000",Lead,Onsight,
2024-10-18,Critter Crack,5.6,,Trad,Seneca Rocks,,Guiding,1,"38.833800, -79.366300",Lead,Redpoint,80
2024-10-18,Front C,5.6,,Trad,Seneca Rocks,,Guiding,1,"38.833800, -79.366300",Lead,Flash,50
2024-10-18,Le Gourmet,5.4,,Trad,Seneca Rocks,,Guiding. Just P1 and P3,2,"38.833800, -79.366300",Lead,Redpoint,285
2024-10-17,Gunsight to South Peak,5.4,,Trad,Seneca Rocks,,Guiding,4,"38.833800, -79.366300",Lead,Redpoint,150
2024-10-17,Skyline Traverse,5.3,,Trad,Seneca Rocks,,Guiding. Client bootied a fixed nut!,3,"38.833800, -79.366300",Lead,Redpoint,
2024-10-16,Roy Gap Chimney's,5.6,,Trad,Seneca Rocks,,Guiding. Just P1,1,"38.833800, -79.366300",Lead,Redpoint,220
2024-10-12,Windy Corner,5.4,,Trad,Seneca Rocks,,Holy rope drag for my followers on this one,1,"38.833800, -79.366300",Lead,Onsight,80
2024-10-12,Old Ladies Route,5.2,,Trad,Seneca Rocks,,Longest day ever :o,2,"38.833800, -79.366300",Lead,Redpoint,
2024-10-07,Gunsight to South Peak,5.4,,Trad,Seneca Rocks,,Guiding,3,"38.833800, -79.366300",Lead,Redpoint,150
2024-10-07,Skyline Traverse,5.3,,Trad,Seneca Rocks,,Guiding,2,"38.833800, -79.366300",Lead,Redpoint,
2024-10-07,Lower Skyline Direct (LSD),5.5,,Trad,Seneca Rocks,,Guiding,2,"38.833800, -79.366300",Lead,Redpoint,120
2024-09-26,Old Man's Route,5.2,,Trad,Seneca Rocks,,Guiding. Rainy day!,4,"38.833800, -79.366300",Lead,Redpoint,
2024-09-22,Skyline Traverse,5.3,,Trad,Seneca Rocks,,TR soloed the last pitch on a booty run,1,"38.833800, -79.366300",TR,Clean,
2024-09-22,Old Man's Route,5.2,,Trad,Seneca Rocks,,TR soloed the last pitch on a stuck rope on the traffic jam rap,3,"38.833800, -79.366300",Solo,Clean,
2024-09-21,Totem,5.11a,,Trad,Seneca Rocks,,Guiding. +2 TR pitches to anchor stuff and clean,3,"38.833800, -79.366300",Lead,Redpoint,280
2024-09-20,Neck Press,5.7,,Trad,Seneca Rocks,,"LRS w/ Revo. Sick climb, awesome movement throughout! Don't dodge the off width/chimney on P2 by going right to those flakes, the pro is garbage and there's a wonderful hidden hand crack if you go straight up. P3 is well worth it, should be climbed more. ",6,"38.833800, -79.366300",Lead,Onsight,200
2024-09-20,Prune,5.7,,Trad,Seneca Rocks,,"LRS w/ Revo. Just the last two pitches, linked them together into a rope stretcher 40m pitch! Pitch 3 was sweet, took the direct var. ",2,"38.833800, -79.366300",Lead,Onsight,320
2024-09-19,La Bella Vista,5.10a,,Trad,Seneca Rocks,,Followed Matt on P1 and led P2. Rowdy!! Climbed into the sunset and saw a bald eagle fly through Roy gap from the top of P2 ,2,"38.833800, -79.366300",Lead,Onsight,160
2024-09-16,Old Ladies Route,5.2,,Trad,Seneca Rocks,,With Joe!,3,"38.833800, -79.366300",Lead,Redpoint,
2024-09-16,Traffic Jam,5.7+,,Trad,Seneca Rocks,,Sick climb! One TR pitch to clean since Joe couldn't get up it. TR pitch I didn't use the back wall or the arete for fun,2,"38.833800, -79.366300",Lead,Onsight,60
2024-09-15,Millennium,5.7,,Trad,Nelson Rocks,,"Millennium at NRocks W/ Mack. Linked first two pitches (EZ Wider). Barely beat the 9am via! Flying squirrel nest in the last pitch crack, disturbed the poor dudes nap",7,"38.695500, -79.465000",Lead,Redpoint,
2024-09-12,Green Wall,5.7,,Trad,Seneca Rocks,,Guiding,3,"38.833800, -79.366300",Lead,Redpoint,
2024-09-12,Ecstasy Junior,5.4,,Trad,Seneca Rocks,,Guiding,2,"38.833800, -79.366300",Lead,Redpoint,160
2024-09-11,Conn's West,5.4,,Trad,Seneca Rocks,,Guiding,3,"38.833800, -79.366300",Lead,Redpoint,200
2024-09-10,Old Man's Route,5.2,,Trad,Seneca Rocks,,Guiding. Just the last two pitches after rapping Conn's,2,"38.833800, -79.366300",Lead,Redpoint,
2024-09-10,Gunsight to South Peak,5.4,,Trad,Seneca Rocks,,Guiding,3,"38.833800, -79.366300",Lead,Redpoint,150
2024-09-10,Worrell's Thicket,5,,Trad,Seneca Rocks,,Guiding,2,"38.833800, -79.366300",Lead,Redpoint,160
2024-09-08,Gunsight To North Peak,5,,Trad,Seneca Rocks,,Chill scramble day,4,"38.833800, -79.366300",Solo,,500
2024-09-08,Worrell's Thicket,5,,Trad,Seneca Rocks,,Chill scramble day,2,"38.833800, -79.366300",Solo,,160
2024-09-06,Old Man's Route,5.2,,Trad,Seneca Rocks,,Carrying up the portaledge to sleep from the orange aid anchors!,3,"38.833800, -79.366300",Lead,Redpoint,
2024-09-05,Old Man's Route,5.2,,Trad,Seneca Rocks,,Guiding,4,"38.833800, -79.366300",Lead,Redpoint,
2024-09-02,Sirius,5.10a,,Sport,Nelson Rocks,,"Sirius at nrocks. Went the wrong way at the first bolt, then hung out to booty a piton",1,"38.695500, -79.465000",Lead,Fell/Hung,
2024-09-02,Crescendo,5.10a,,Trad,Nelson Rocks,,"Aid rope solo with Revo. Get a connect adjust, they're awesome. 1h6m",1,"38.695500, -79.465000",TR,,120
2024-08-31,Totem,5.11a,,Trad,Seneca Rocks,,Just P1 to set up a top rope +1 tr pitch to clean. Guiding,2,"38.833800, -79.366300",Lead,Redpoint,280
2024-08-28,Mushrooms,5.10a,,Trad,Beauty Mountain,,One TR lap to clean,1,"38.0508, -81.03146",TR,,60
2024-08-28,Mushrooms,5.10a,,Trad,Beauty Mountain,,"Fell in the first 8 feet, lowered then got the red point! Dope route, deserves more traffic. On mushrooms ",1,"38.0508, -81.03146",Lead,Redpoint,60
2024-08-28,Screamer Crack,5.8,,Trad,Beauty Mountain,,"Foot slipped and I fell a few feet to the deck before I placed in that first horizontal. Good route though, albeit a tad slippery! You'll want two fives and two fours if you want to avoid bumping almost the whole way",1,"38.0508, -81.03146",Lead,Redpoint,80
2024-08-27,"Decameron, The",5.10b,,Sport,Bubba City,,,1,"38.09332, -81.09376",Lead,Onsight,90
2024-08-27,Kinesthetica,5.10c,,Sport,Bubba City,,So sick!!,1,"38.09332, -81.09376",Lead,Onsight,90
2024-08-27,Mrs. Field's Follies,5.8,,Sport,Bubba City,,,1,"38.09332, -81.09376",Lead,Onsight,95
2024-08-27,Geisha Girl,5.8,,Sport,Bubba City,,,1,"38.09332, -81.09376",Lead,Onsight,95
2024-08-26,Narcissus,5.12a,,Sport,Narcissus Cave,,About the same as ever ,1,"38.24193, -80.84067",Lead,Fell/Hung,55
2024-08-26,Satisfaction Guaranteed,5.11a,,Sport,Satisfaction Wall,,"Fell where the holds start getting small again after the roof. Failed the enduro crux! Proud to have gotten there clean though, the technical crux was tricky",1,"38.24161, -80.8422",Lead,Fell/Hung,65
2024-08-26,Lickety Split,5.9,,Sport,Satisfaction Wall,,"W/ John Michael, Mack, and Zia. Stiff for a 9",1,"38.24161, -80.8422",Lead,Onsight,60
2024-08-21,34D,5.10b,,Sport,Nelson Rocks,,W/ John Michael. Tricky crux for 10b,1,"38.695500, -79.465000",Lead,Onsight,
2024-08-21,Crescendo,5.10a,,Trad,Nelson Rocks,,"Linked both pitches. Sick climb, lives up to the hype! I liked having my #3 but you could definitely get away with leaving it at home. W/ John Michael",1,"38.695500, -79.465000",Lead,Onsight,120
2024-08-18,Gunsight to South Peak,5.4,,Trad,Seneca Rocks,,LRS w/ Revo. One mega pitch with one follow,2,"38.833800, -79.366300",Lead,Redpoint,150
2024-08-18,Rox Salt,5.6,,Trad,Seneca Rocks,,LRS w/ Revo,1,"38.833800, -79.366300",Lead,Onsight,50
2024-08-14,Back to the Front,5.9,,Trad,Seneca Rocks,,W/ Mack. Sick climb!!,1,"38.833800, -79.366300",Lead,Redpoint,100
2024-08-14,Prune,5.7,,Trad,Seneca Rocks,,W/ Mack. Just P2 after doing Seneca Daze.,1,"38.833800, -79.366300",Lead,Redpoint,320
2024-08-14,Seneca Daze,5.7,PG13,Sport,Seneca Rocks,,"W/ Mack. Linked this into P2 of Prune, should have done them as two pitches though",1,"38.833800, -79.366300",Lead,Onsight,75
2024-08-13,Rear Entry,5.8,,"Trad, Sport",Seneca Rocks,,"Sick climb! Super good movement through the face section, the rock through the roof felt a little suspect. Would sooner to Dufty's Popoff again",1,"38.833800, -79.366300",Lead,Onsight,125
2024-08-13,Skyline Traverse,5.3,,Trad,Seneca Rocks,,W/ John Michael. Just P1 to get to rear entry,1,"38.833800, -79.366300",Lead,Redpoint,
2024-08-12,Old Man's Route,5.2,,Trad,Seneca Rocks,,W/ Jack. Booty run. Found a wiregate on the traverse pitch. Led the whole thing with the grabber hanging off me!,3,"38.833800, -79.366300",Lead,Redpoint,
2024-08-12,Skyline Traverse,5.3,,Trad,Seneca Rocks,,W/ Jack. Booty run with the grabber,3,"38.833800, -79.366300",Lead,Redpoint,
2024-08-04,Roy Gap Chimney's,5.6,,Trad,Seneca Rocks,,Led P1 to set up a TR. Guiding,1,"38.833800, -79.366300",Lead,Redpoint,220
2024-08-04,The Burn,5.8,,Trad,Seneca Rocks,,TR to clean. Guiding,1,"38.833800, -79.366300",TR,,150
2024-08-04,Totem,5.11a,,Trad,Seneca Rocks,,LRS w/ revo. Guiding,1,"38.833800, -79.366300",Lead,Redpoint,280
2024-08-03,Never Say Never,5.10c,,Sport,Nelson Rocks,,Never Say Never at nrocks,1,"38.695500, -79.465000",TR,,
2024-08-03,License to Drill,5.10a,,Sport,Nelson Rocks,,License to Drill at nrocks.,1,"38.695500, -79.465000",Lead,Redpoint,
2024-08-03,Flying Bunghole,5.10b,,Sport,Nelson Rocks,,Flying Bunghole at nrocks. Finding the bunghole made pulling the roof a breeze! +1 pitch to TR for fun,2,"38.695500, -79.465000",Lead,Onsight,
2024-08-03,Lifers,5.10a,,Sport,Nelson Rocks,,Lifers at nrocks,1,"38.695500, -79.465000",Lead,Onsight,
2024-08-02,Thais - Variation Thais Escape,5.5,,Trad,Seneca Rocks,,Guiding,1,"38.833800, -79.366300",Lead,Redpoint,40
2024-08-02,Thais,5.6,,Trad,Seneca Rocks,,Guiding. Much smoother transitions,2,"38.833800, -79.366300",Lead,Redpoint,300
2024-08-01,Ecstasy Junior,5.4,,Trad,Seneca Rocks,,Guiding,2,"38.833800, -79.366300",Lead,Redpoint,160
2024-08-01,Conn's West,5.4,,Trad,Seneca Rocks,,"Guiding, shouldn't have done the third pitch",3,"38.833800, -79.366300",Lead,Redpoint,200
2024-07-31,Totem,5.11a,,Trad,Seneca Rocks,,TR just pitch 1 to clean. Guiding,1,"38.833800, -79.366300",TR,,280
2024-07-31,Wild Men Only,5.10a,PG13,Trad,Seneca Rocks,,LRS w/ Revo. Just pitch 1 to set up a TR. Guiding,1,"38.833800, -79.366300",Lead,Onsight,315
2024-07-30,Lower Skyline Direct (LSD),5.5,,Trad,Seneca Rocks,,LRS w/ Revo. One pitch to the skyline anchors + 1 to follow. Pro on the corner is super sus. Was this corner really Bella Vista Lotus Var?,2,"38.833800, -79.366300",Lead,Redpoint,120
2024-07-30,Dufty's Popoff,5.7,PG13,Trad,Seneca Rocks,,"LRS w/ Revo. Lives up to the hype, it was dope!! Great pro throughout too",2,"38.833800, -79.366300",Lead,,130
2024-07-29,The Burn,5.8,,Trad,Seneca Rocks,,Guiding. TR to clean,1,"38.833800, -79.366300",TR,,150
2024-07-29,Candy Corner,5.6,,Trad,Seneca Rocks,,Guiding,1,"38.833800, -79.366300",Lead,Redpoint,95
2024-07-25,Totem,5.11a,,Trad,Seneca Rocks,,"W/ Tom Cronin. Led the crux roof, fuckin gnarly!",3,"38.833800, -79.366300",Lead,Fell/Hung,280
2024-07-24,Lower Skyline Direct (LSD),5.5,,Trad,Seneca Rocks,,Explored starting near the base of Candy Corner ending at the normal start for Skyline,1,"38.833800, -79.366300",Solo,,120
2024-07-24,Totem,5.11a,,Trad,Seneca Rocks,,Guiding. LRS with Revo. Just P1.,1,"38.833800, -79.366300",Lead,,280
2024-07-22,Totem,5.11a,,Trad,Seneca Rocks,,Guiding,1,"38.833800, -79.366300",Lead,Redpoint,280
2024-07-20,The Burn,5.8,,Trad,Seneca Rocks,,TR to clean,1,"38.833800, -79.366300",TR,,150
2024-07-20,Totem,5.11a,,Trad,Seneca Rocks,,TR to clean,1,"38.833800, -79.366300",TR,,280
2024-07-20,Totem,5.11a,,Trad,Seneca Rocks,,Guiding,1,"38.833800, -79.366300",Lead,Redpoint,280
2024-07-18,Conn's West,5.4,,Trad,Seneca Rocks,,Guiding. Phone rescue mission from the crack under the first summit rappel station. Success!,3,"38.833800, -79.366300",Lead,Redpoint,200
2024-07-17,Ye Gods & Little Fishes,5.8,,Trad,Seneca Rocks,,TR to tweak the anchor,1,"38.833800, -79.366300",TR,,85
2024-07-17,Totem,5.11a,,Trad,Seneca Rocks,,Guiding,1,"38.833800, -79.366300",Lead,Redpoint,280
2024-07-14,Kamikaze,5.10a,,Sport,Nelson Rocks,,Kamikaze at NRocks. Approach shoe send to clean.,1,"38.695500, -79.465000",TR,,
2024-07-14,Dominion,5.10b,,Sport,Nelson Rocks,,Dominion at NRocks. Approach shoe send,1,"38.695500, -79.465000",TR,,
2024-07-12,Internal Dialogue,5.8,,Sport,Reeds Creek,,Followed to clean. Dogs out!,1,"38.785000, -79.288000",TR,,55
2024-07-12,Internal Dialogue,5.8,,Sport,Reeds Creek,,,1,"38.785000, -79.288000",Lead,Flash,55
2024-07-11,Old Man's Route,5.2,,Trad,Seneca Rocks,,Guiding,4,"38.833800, -79.366300",Lead,Redpoint,
2024-07-10,Roy Gap Chimney's,5.6,,Trad,Seneca Rocks,,Guided Cleo. Just P1,1,"38.833800, -79.366300",Lead,Redpoint,220
2024-07-10,Conn's West,5.4,,Trad,Seneca Rocks,,Guided Cleo. ,3,"38.833800, -79.366300",Lead,Redpoint,200
2024-07-09,Honey Hole 5.7,5.7,,Sport,Honey Hole,,TRd the line above the road at Honey Hole for fun.,1,"38.785000, -79.288000",TR,,
2024-07-09,Honey Hole 5.7,5.7,,Sport,Honey Hole,,"Super fun line above the road at Honey Hole. Super fun, good holds!",1,"38.785000, -79.288000",Lead,Onsight,
2024-07-09,Honey Hole 5.10a,5.10a,,Sport,Honey Hole,,"Same line from before at Honey Hole. You can dodge the big deadpoint, but why would you?",1,"38.785000, -79.288000",Lead,Redpoint,
2024-07-07,Skyline Traverse,5.3,,Trad,Seneca Rocks,,Guiding. Just the last two pitches.,2,"38.833800, -79.366300",Lead,Redpoint,
2024-07-07,Candy Corner,5.6,,Trad,Seneca Rocks,,Guiding,1,"38.833800, -79.366300",Lead,Redpoint,95
2024-07-06,Thais - Variation Thais Escape,5.5,,Trad,Seneca Rocks,,Guiding,1,"38.833800, -79.366300",Lead,Onsight,40
2024-07-06,Thais,5.6,,Trad,Seneca Rocks,,,2,"38.833800, -79.366300",Lead,Redpoint,300
2024-06-25,Triple S,5.8+,,Trad,Seneca Rocks,,Guided Mateo. Pulled on gear a couple times to get the job done,1,"38.833800, -79.366300",Lead,Fell/Hung,90
2024-06-24,Gunsight to South Peak,5.4,,Trad,Seneca Rocks,,W/ Chris and Mack,2,"38.833800, -79.366300",Lead,Redpoint,150
2024-06-24,Critter Crack,5.6,,Trad,Seneca Rocks,,W/ Chris and Mack,1,"38.833800, -79.366300",Lead,Redpoint,80
2024-06-24,Old Man's Route,5.2,,Trad,Seneca Rocks,,Led to the tree ledge then soloed to Critter. W/ Mack and Chris,2,"38.833800, -79.366300",Lead,Redpoint,
2024-06-23,Honey Hole 5.10a,5.10a,,Sport,Honey Hole,,TRd a harder line below the anchors of the 5.8 at Honey Hole. Would go for a lead with a stick clip!,1,"38.785000, -79.288000",TR,,
2024-06-23,Honey Hole 5.8,5.8,,Sport,Honey Hole,,"A seriously dirty, diagonal line at honey hole. Fell on the finishing moves",1,"38.785000, -79.288000",Lead,Fell/Hung,
2024-06-22,EZ Wider,5.6,,Sport,Nelson Rocks,,Led just the first pitch to TR some clients.,1,"38.695500, -79.465000",Lead,Redpoint,
2024-06-21,Pleasant Overhangs,5.7,,Trad,Seneca Rocks,,W/ John Michael. Pretty fun taking him up this!,3,"38.833800, -79.366300",Lead,Redpoint,290
2024-06-20,Candy Corner,5.6,,Trad,Seneca Rocks,,Followed Chris,1,"38.833800, -79.366300",Follow,,95
2024-06-20,Ambush,5.11a,,Trad,Seneca Rocks,,Wooo!! TRd after to clean the gear,2,"38.833800, -79.366300",Lead,Redpoint,40
2024-06-20,Ecstasy Junior,5.4,,Trad,Seneca Rocks,,Followed Chris,2,"38.833800, -79.366300",Follow,,160
2024-06-19,Totem,5.11a,,Trad,Seneca Rocks,,LRS w revo. Just pitch one to set a toprope for the children. +1 TR lap to clean,2,"38.833800, -79.366300",Lead,Redpoint,280
2024-06-15,Gunsight to South Peak,5.4,,Trad,Seneca Rocks,,Guided Joe and Bob(kinda) for a big Lebowski moment,3,"38.833800, -79.366300",Lead,Redpoint,150
2024-06-13,Predator,5.12a,,Sport,Seneca Rocks,,Found some fun crux beta where you cross your left leg across before you reach for the sloper with the thumb catch,1,"38.833800, -79.366300",TR,,45
2024-06-13,Predator,5.12a,,Sport,Seneca Rocks,,Getting closer!,1,"38.833800, -79.366300",Lead,Fell/Hung,45
2024-06-13,Ambush,5.11a,,Trad,Seneca Rocks,,"Followed Tom. Could go for the send on this! 
#1, .75, .4 then maybe a #2 for the scramble to the anchors",1,"38.833800, -79.366300",Follow,,40
2024-06-13,Climbin' Punishment,5.8+,,Trad,Seneca Rocks,,"Followed pitch 1, led pitch 2. Perfect hands to the top!!",2,"38.833800, -79.366300",Lead,Onsight,180
2024-06-12,Worrell's Thicket,5,,Trad,Seneca Rocks,,Access to Broadway on an early morning booty run,2,"38.833800, -79.366300",Solo,,160
2024-06-11,Orangeaid,5.10b,,Trad,Seneca Rocks,,TR solo. Stout!,1,"38.833800, -79.366300",TR,,80
2024-06-11,Old Man's Route,5.2,,Trad,Seneca Rocks,,Soloed to the last pitch then was lucky enough to get permission to slap my micro on someones rapline,3,"38.833800, -79.366300",TR,,200
2024-06-11,Pollux,5.10a,,Trad,Seneca Rocks,,Cruiser!,1,"38.833800, -79.366300",Lead,Redpoint,45
2024-06-11,Pollux,5.10a,,Trad,Seneca Rocks,,TR solo from orangeaid bolts,1,"38.833800, -79.366300",TR,,45
2024-06-08,Conn's East,5.6,,Trad,Seneca Rocks,,LRS with revo. Decent!,4,"38.833800, -79.366300",Lead,Onsight,250
